Table 1
word	Final_rating																
Kaulquappe	bad																
Eingeweide	bad																
Standarte	bad																
Trog	bad																
Nelke	mid																
Steinpilz	bad																
Phalanx	bad																
Hinterleib	bad																
Brustwarze	bad																
Schädel	bad																
Oleander	bad																
Manna	bad																
Augenoptiker	bad																
Werkhalle	bad																
Speisekammer	bad																
Röschen	bad																
Palisade	bad																
Hohlweg	bad																
Wehrgang	bad																
Lyoner	bad																
Blutegel	bad																
Sakristei	bad																
Kopftuch	bad																
Kügelchen	bad																
Sturmtruppe	bad																
Harnröhre	bad																
Apfelwein	bad																
Blei	mid																
Latrine	bad																
Bibliothek	bad																
Dachboden	bad																
Leopard	bad																
Bildpunkt	bad																
Seepferdchen	bad																
Karawane	bad																
Schildkröte	bad																
Stalaktit	bad																
Krustentier	bad																
Souvenir	bad																
Spirituose	bad																
Zedernholz	bad																
Unkraut	bad																
Nikotin	bad																
Sirup	bad																
Verdickung	bad																
Vinaigrette	bad																
Indio	bad																
Hämoglobin	bad																
Kleinod	bad																
Dickdarm	bad																
Vorplatz	good																
Häuserblock	bad																
Zeder	bad																
Petroleum	bad																
Zisterne	good																
Granat	bad																
Horoskop	bad																
Zwiebel	bad																
Makrele	bad																
Kirschwasser	bad																
Kakao	bad																
Süßholz	bad																
Zusammenfluß	bad																
Garnison	bad																
Schimmelpilz	bad																
Gras	bad																
Pigment	bad																
Tagebuch	bad																
Pflaume	bad																
Wanne	bad																
Feuerball	bad																
Keil	bad																
Weide	good																
Jungtier	bad																
Schwarze	bad																
Betrachter	bad																
Kristall	bad																
Agave	bad																
Koloß	bad																
Panier	bad																
Seeufer	bad																
Meer	bad																
Sümmchen	bad																
Egge	bad																
Bohnenkraut	bad																
Fahrstreifen	bad																
Säckel	bad																
Botulismus	bad																
Garnele	bad																
Eiskappe	bad																
Altar	bad																
Tank	bad																
Busen	bad																
Apotheke	bad																
Kiosk	bad																
Herzkammer	bad																
Etikett	bad																
Holunder	bad																
Düne	good																
Raumfahrzeug	bad																
Spaghetti	bad																
Regiment	bad																
Harz	bad																
Apfelsine	bad																
Haubitze	bad																
Schilfrohr	bad																
Seevogel	bad																
Nachthemd	bad																
Mundwasser	bad																
Signet	bad																
Joppe	bad																
Fontäne	good																
Rebstock	bad																
Wassermelone	bad																
Hüttenwerk	bad																
Amber	bad																
Wagenlenker	bad																
Kichererbse	bad																
Mammutbaum	bad																
Diamant	bad																
Dachfenster	bad																
Vorhof	mid																
Kessel	bad																
Eckzahn	bad																
Faksimile	bad																
Mastdarm	bad																
Steinbock	bad																
Wasserlinie	bad																
Äuglein	bad																
Bullauge	bad																
Marschland	bad																
Altarbild	mid																
Brillenglas	bad																
Torbogen	good																
Sonnendach	bad																
Mikrofilm	bad																
Kreuz	bad																
Guckloch	bad																
Festung	bad																
Altarraum	bad																
Kreide	bad																
Querschiff	bad																
Schriftzug	bad																
Velodrom	bad																
Zyste	bad																
Superman	bad																
Kornfeld	good																
Rinnstein	bad																
Saum	bad																
Kleinhirn	bad																
Stadtstaat	bad																
Schuppe	bad																
Sekret	bad																
Bahndamm	bad																
Krug	bad																
Grasland	bad																
Kavallerie	bad																
Kiesel	bad																
Britin	bad																
Onyx	bad																
Schalotte	bad																
Küste	bad																
Lorbeer	bad																
Pelikan	bad																
Krater	mid																
Faß	bad																
Aster	bad																
Schlange	bad																
Karamel	bad																
Fühler	bad																
Badehaus	bad																
Wildblume	bad																
Buschwerk	bad																
Mondkalb	bad																
Stute	bad																
Dahlie	bad																
Feuerkugel	bad																
Löwenzahn	bad																
Fleischhauer	bad																
Heckklappe	bad																
Mineralstoff	bad																
Aktenstück	bad																
Membrane	bad																
Moor	good																
Perle	bad																
Square	bad																
Zusatzstoff	bad																
Schlehe	bad																
Mauerstein	bad																
Duft	bad																
Krem	bad																
Hügelgrab	bad																
Narbe	bad																
Pilz	bad																
Galle	bad																
Drehgestell	bad																
Goetheplatz	bad																
Armenhaus	bad																
Kassenbon	bad																
Abzeichen	good																
Mauerstraße	bad																
Dickicht	bad																
Kapsel	bad																
Pulsader	bad																
Pollen	bad																
Dock	good																
Weißdorn	bad																
Raumfahrer	bad																
Bracke	bad																
Fernrohr	bad																
Insekt	bad																
Patte	bad																
Wandelhalle	bad																
Fohlen	bad																
Sonnenschein	bad																
Wandbild	bad																
Kies	good																
Diele	good																
Biotop	mid																
Achteck	bad																
Viadukt	good																
Eichel	bad																
Schnecke	good																
Borte	bad																
Knoblauch	bad																
Mädchen	bad																
Kerzenlicht	bad																
Symptom	bad																
Zirrhose	bad																
Cabrio	bad																
Hämatom	bad																
Sombrero	bad																
Sandelholz	bad																
Gramm	bad																
Melone	bad																
Banane	bad																
Aquarium	bad																
Minze	bad																
Seehafen	bad																
Geschwür	bad																
Scheidewand	bad																
Akazie	mid																
Ikone	bad																
Mongole	bad																
Karlsplatz	bad																
Graben	bad																
Lagune	good																
Flaneur	bad																
Zebra	bad																
Gallenblase	bad																
Fresko	bad																
Sofa	bad																
Pudding	bad																
Kalk	bad																
Sonde	good																
Gelände	bad																
Haut	bad																
Wasser	bad																
Weintraube	bad																
Vorspeise	bad																
Kocher	bad																
Götzenbild	bad																
Wasserkopf	bad																
Kiefer	bad																
Flanke	bad																
Querkopf	bad																
Landzunge	bad																
Brille	bad																
Tankschiff	bad																
Wiederkäuer	bad																
Sarkophag	good																
Acre	bad																
Gin	bad																
Marienstraße	bad																
Silhouette	bad																
Mausoleum	good																
Schatzkammer	good																
Buchläden	 bad																
Miesmuschel	 bad																
Fruchtzucker	 bad																
Krabbe	 bad																
Gekreuzigte	 bad																
Heroin	 bad																
Pfeffer	 bad																
Fassade	mid																
Libelle	bad																
Saft	bad																
Glatze	bad																
Vesuv	bad																
Gote	bad																
Banknote	bad																
Zypresse	bad																
Hausboot	bad																
Arterie	bad																
Hibiskus	bad																
Tragwerk	bad																
Harnleiter	bad																
Vlies	bad																
Maggi	bad																
Mähne	bad																
Vorderfront	bad																
Schneefeld	bad																
Schnauze	bad																
Seitenschiff	bad																
Phallus	bad																
Dotter	bad																
Trottoir	bad																
Bootshaus	bad																
Atom	bad																
Marienkäfer	bad																
Sauerkraut	bad																
Bridge	bad																
Staude	good																
Aprikose	bad																
Ranch	bad																
Kornblume	bad																
Flüssigkeit	bad																
Toga	bad																
Kitt	bad																
Grünzeug	bad																
Pier	bad																
Buchsbaum	bad																
Zentaur	bad																
Halde	bad																
Bungalow	bad																
Kieselstein	good																
Anatom	bad																
Schlangenbiß	bad																
Samenkorn	bad																
Brustwehr	bad																
Nest	bad																
Markstein	bad																
Alabaster	bad																
Platz	bad																
Lotos	bad																
Kalzium	bad																
Aroma	bad																
Tinktur	bad																
Schnurrbart	bad																
Medaillon	bad																
Schiebedach	bad																
Pulver	bad																
Pool	bad																
Fjord	bad																
Büschel	bad																
Stulle	bad																
Sonnenbrand	bad																
Sonnenblume	bad																
Nebengebäude	bad																
Regenrinne	good																
Schutzhütte	bad																
Sternbild	bad																
Drehkreuz	bad																
Vorzimmer	bad																
Orchidee	bad																
Eierlikör	bad																
Router	bad																
Knospe	bad																
Marienplatz	bad																
Ufer	good																
Falkensee	bad																
Dromedar	mid																
Rille	bad																
Mensa	bad																
Bergwerk	bad																
Chrysantheme	bad																
Efeu	bad																
Hotel	bad																
Gaswerk	bad																
Whisky	bad																
Rachen	bad																
Totenschädel	bad																
Fliegenpilz	bad																
Exkrement	bad																
Hautarzt	sound																
Sonnenbank	bad																
Diagramm	bad																
Schopf	bad																
Zitrone	bad																
Europaplatz	bad																
Terpentin	bad																
Grapefruit	bad																
Anwesen	good																
Viereck	bad																
Brückenkopf	bad																
Albumin	bad																
Kastanie	mid																
Umzäunung	good																
Lid	bad																
Quader	bad																
Prisma	bad																
Matterhorn	bad																
Natter	bad																
Knolle	bad																
Beiwagen	bad																
Kragen	bad																
Knotenpunkt	bad																
Hofgarten	bad																
Kehle	bad																
Regentropfen	bad																
Kirchhof	bad																
Grenadier	bad																
Wohnstatt	bad																
Sonnenhut	bad																
Azalee	bad																
Lende	bad																
Margerite	bad																
Gecko	bad																
Vordach	good																
Steilküste	bad																
Schwanz	bad																
Feldstein	bad																
Drogist	bad																
Birkenstock	bad																
Winterhude	bad																
Appartment	bad																
Flügeldecke	bad																
Schilf	bad																
Mehlwurm	bad																
Quai	bad																
Barke	good																
Theke	bad																
Wurmfortsatz	bad																
