word	old20 score (based on the top 35502 lemmas in sdewac)
Feind	5.0
Boden	5.0
Flug	4.0
Ästhetik	8.0
Bann	4.0
Hauch	5.0
Frost	5.0
Kleinstadt	10.0
Atmosphäre	10.0
Flughafen	9.0
Wende	5.0
Irrtum	6.0
Verzicht	8.0
Frust	5.0
Text	4.0
Lage	4.0
Ausmaß	6.0
Parkplatz	9.0
Überlegung	10.0
Trost	5.0
Blinde	6.0
Hölle	5.0
Affäre	6.0
Zauberspruch	12.0
Kochen	6.0
Masse	5.0
Faden	5.0
Spiel	5.0
Schwester	9.0
Patientin	9.0
Kaufmann	8.0
Unvereinbarkeit	15.0
Forst	5.0
Konstellation	13.0
Benehmen	8.0
Geschwister	11.0
Brief	5.0
Aktivität	9.0
Sicherheit	10.0
Echo	4.0
Hauptperson	11.0
Storch	6.0
Nein	4.0
Umfeld	6.0
Ablenkung	9.0
Fassade	7.0
Dynamik	7.0
Ruine	5.0
Menge	5.0
Absage	6.0
Heiterkeit	10.0
Veränderung	11.0
Leere	5.0
Eile	4.0
Ring	4.0
Rechnung	8.0
Adresse	7.0
Telefonnummer	13.0
Fleisch	7.0
Gedankengang	12.0
Eingang	7.0
Gewißheit	9.0
Innere	6.0
Bein	4.0
Blei	4.0
Geduld	6.0
Verwirrung	10.0
Rätsel	6.0
Unendliche	10.0
Stillschweigen	14.0
Unterwerfung	12.0
Zweifel	7.0
Vogel	5.0
Norden	6.0
Schlafzimmer	12.0
Unterschied	11.0
Sandstrand	10.0
Magie	5.0
Gegenwart	9.0
Rind	4.0
Regel	5.0
Aufenthalt	10.0
Bedauern	8.0
Lebewesen	9.0
Unheil	6.0
Funktion	8.0
Bemühung	8.0
Abneigung	9.0
Heim	4.0
Milde	5.0
Hoffnung	8.0
Königssohn	10.0
Schnauze	8.0
Kram	4.0
Baracke	7.0
Kreuzung	8.0
Schlange	8.0
Treffen	7.0
Element	7.0
Thema	5.0
Stellenwert	11.0
Freundin	8.0
Friseur	7.0
Gefahr	6.0
Malaria	7.0
Mücke	5.0
Arm	3.0
Wagen	5.0
Linke	5.0
Scheune	7.0
Urlaub	6.0
Frechheit	9.0
Zeitpunkt	9.0
Läufer	6.0
Laut	4.0
Lippe	5.0
Keller	6.0
Dank	4.0
Gleichgesinnten	15.0
Diplomatie	10.0
Halluzination	13.0
Erde	4.0
Reihe	5.0
Volk	4.0
Eintracht	9.0
Register	8.0
Vorschein	9.0
Anwesen	7.0
Weihnachtsmann	14.0
Computer	8.0
Zuhilfenahme	12.0
Bildschirm	10.0
Schrank	7.0
Fähigkeit	9.0
Schwert	7.0
Scheide	7.0
Fahrt	5.0
Neugier	7.0
Furcht	6.0
Lady	4.0
Eröffnung	9.0
Restaurant	10.0
Vorstellung	11.0
Treiben	7.0
Vorort	6.0
Egoismus	8.0
Zug	3.0
Maske	5.0
Achtung	7.0
Bewunderung	11.0
Mitmensch	9.0
Ort	3.0
Kalender	8.0
Sonntag	7.0
Dienstag	8.0
Anruf	5.0
Forschung	9.0
Distanz	7.0
Ablauf	6.0
Schwäche	8.0
Partner	7.0
Eigenart	8.0
Aspekt	6.0
Kindesalter	11.0
Geselle	7.0
Westen	6.0
Route	5.0
Eintrag	7.0
Dezember	8.0
Vorführung	10.0
Herrschaft	10.0
Prozedur	8.0
Patient	7.0
Entdeckung	10.0
Unruhe	6.0
Taschentuch	11.0
Bruchteil	9.0
Sau	3.0
Meer	4.0
Symbiose	8.0
Phase	5.0
Szenario	8.0
Ruhm	4.0
Unmut	5.0
Betrachten	10.0
Tat	3.0
Lust	4.0
Markt	5.0
Not	3.0
Bewohner	8.0
Bekanntschaft	13.0
Pause	5.0
Funke	5.0
Programm	8.0
Umgebung	8.0
Rückkehr	8.0
Finsternis	10.0
Zeitvertreib	12.0
Enttäuschung	12.0
Ausbruch	8.0
Geschöpf	8.0
Chauffeur	9.0
Ball	4.0
Nebenraum	9.0
Journalist	10.0
Hof	3.0
Familie	7.0
Schreiber	9.0
Gefühlswelt	11.0
Antlitz	7.0
Standpunkt	10.0
Gebrauch	8.0
Bilanz	6.0
Verteidiger	11.0
Wasseroberfläche	16.0
Hülle	5.0
Pflanze	7.0
Türe	4.0
Monitor	7.0
Kammer	6.0
Einsatz	7.0
Vorfall	7.0
Notiz	5.0
Deutlichkeit	12.0
Heilung	7.0
Opfer	5.0
Ankunft	7.0
Speer	5.0
Post	4.0
Geringste	9.0
Dollar	6.0
Religion	8.0
Sorte	5.0
Mitschüler	10.0
Semester	8.0
Studium	7.0
Idee	4.0
Vermieter	9.0
Miete	5.0
Photo	5.0
Spur	4.0
Nervosität	10.0
Schimmer	8.0
Meinung	7.0
Gedränge	8.0
Katastrophe	11.0
Engländer	9.0
Gespann	7.0
Nachmittag	10.0
Stolz	5.0
Gardine	7.0
Ratschlag	9.0
Offenbarung	11.0
Plätzchen	9.0
Schule	6.0
Vermutung	9.0
Zwischenfall	12.0
Klinik	6.0
Ausdauer	8.0
Beginn	6.0
Menschsein	10.0
Gesichtszug	11.0
Tierwelt	8.0
Dunkel	6.0
Leser	5.0
Angestellte	11.0
Gerede	6.0
Hundert	7.0
Kilometer	9.0
Heimweh	7.0
Papa	4.0
Einwohner	9.0
Traurigkeit	11.0
Streichholz	11.0
Bar	3.0
Gebiß	5.0
Onkel	5.0
Last	4.0
Fortschritt	11.0
Umweg	5.0
Kleinigkeit	11.0
Erschütterung	13.0
Lebensabschnitt	15.0
Besonderheit	12.0
Augenblicks	11.0
Braut	5.0
Zorn	4.0
Aufgabe	7.0
Tote	4.0
Zwang	5.0
Waage	5.0
Jüngste	7.0
Beantwortung	12.0
Unwissenheit	12.0
Gewissen	8.0
Pubertät	8.0
Nest	4.0
