word	old20 score (based on the top 35502 lemmas in sdewac)
Vibraphon	9.0
Tüte	4.0
Pfeil	5.0
Frachter	8.0
Kahn	4.0
Grafik 	7.0
Setzling	8.0
Matte	5.0
Akku	4.0
Bildnis	7.0
Poster	6.0
Brunnen	7.0
Karotte	7.0
Bimmel	6.0
Kokosnuss	9.0
Brücke	6.0
Pfeife	6.0
Roboter 	8.0
Dudelsack	9.0
Megaphon	8.0
Leuchte	7.0
Kathedrale	10.0
Klingel	7.0
Liane	5.0
Getreide	8.0
Lauch	5.0
Eisenbahn	9.0
Kübel	5.0
Album	5.0
Motor	5.0
Brett	5.0
Riemen 	7.0
Fregatte	8.0
Broccoli	8.0
Kalender	8.0
Limone	6.0
Sattel	6.0
Zucchini	8.0
Teppich	7.0
Blumenkohl	10.0
Spinat	6.0
Alphorn	7.0
Echo	4.0
Batterie	8.0
Brokkoli	8.0
Lampe	5.0
Rikscha	7.0
Erbse	5.0
Knoblauch	9.0
Muskatnuss	10.0
Papaya	6.0
Petersilie	10.0
Pult	4.0
Steinpilz	9.0
Sack	4.0
Kürbis	6.0
Generator	9.0
Ingwer	6.0
Quittung	8.0
Rosenkranz	10.0
Spiegel	7.0
Fliese	6.0
Terrarium	9.0
Möhre	5.0
Burg	4.0
Vase	4.0
Parkett	7.0
Dom	3.0
Grapefruit	10.0
Hut	3.0
Reisepass	9.0
Stange	6.0
Aquarium	8.0
Trafo	5.0
Nektarine	9.0
Wagon	5.0
Pflaume	7.0
Glocke	6.0
Rohr	4.0
Barometer	9.0
Avocado	7.0
Balkon	6.0
Laterne	7.0
Linse	5.0
Weinrebe	8.0
Rahmen	6.0
Kugel	5.0
Transformator	13.0
Artischocke	11.0
Blatt	5.0
Keil	4.0
Kissen	6.0
Maracuja	8.0
Vitrine	7.0
Zimt	4.0
Stock	5.0
Synthesizer	11.0
Kreuz	5.0
Pilz	4.0
Pfahl	5.0
Garderobe	9.0
Sesam	5.0
Terrasse	8.0
Feige	5.0
Wand	4.0
Radio	5.0
Lattenrost	10.0
Kranz	5.0
Zelt	4.0
Strand	6.0
Mandel	6.0
Boden	5.0
Draht	5.0
Bohne	5.0
Gully	5.0
Schatten	8.0
Skelett	7.0
Turm	4.0
Beleg	5.0
Kaktusfeige	11.0
Dill	4.0
Stimmband	9.0
Rose	4.0
Stein	5.0
Statue	6.0
Ventilator	10.0
Podest	6.0
Zweig	5.0
Quelle	6.0
Matsche	7.0
Baum	4.0
Dachziegel	10.0
Gewitter	8.0
Dachrinne	9.0
Tannenzapfen	12.0
Grabstein	9.0
Kronleuchter	12.0
Litfaßsäule	11.0
Straßenlampe	12.0
Seerose	7.0
Rinnsal	7.0
Blitz	5.0
Nummernschild	13.0
Windspiel	9.0
Türrahmen	9.0
Donner	6.0
Flyer	5.0
Hamburger	9.0
Zeichnung	9.0
Panda	5.0
Toast	5.0
