Action	Animate	Bigram_freq	Geraeusch	Geraeusch_SD	Handlung	Handlung_SD	Lemma_freq	Letters	Living	Natural	Neighbors	Sound	Trigram_freq	Vertrautheit	Vertrautheit_SD	Visuell	Visuell_SD	Words	n_Syllables
0.0	1.0	132087.56	3.83	1.29	1.44	0.86	10.33	3.0	1.0	1.0	15.84	1.0	128785.53	5.56	0.98	5.28	0.75	Bär	1.0	
1.0	0.0	131761.91	1.31	0.6	4.63	1.67	14.26	5.0	0.0	0.0	7.28	0.0	102329.97	5.81	0.54	4.0	1.55	Paket	2.0	
1.0	0.0	209121.18	4.5	na	4.69	na	0.22	3.0	0.0	0.0	12.84	1.0	206694.59	5.88	0.45	3.0	na	Fön	1.0	
1.0	0.0	283151.32	1.06	na	5.0	na	3.65	5.0	0.0	0.0	16.27	0.0	162872.83	5.83	0.48	4.19	na	Zange	2.0	
1.0	0.0	485878.63	4.44	na	4.31	na	5.54	8.0	0.0	0.0	5.57	1.0	239442.87	4.9	1.41	3.88	na	Peitsche	2.0	
0.0	1.0	384208.85	4.28	0.96	2.0	1.24	2.87	5.0	1.0	1.0	22.26	1.0	166204.42	5.44	1.1	4.22	1.66	Henne	2.0	
1.0	0.0	334419.85	1.74	0.86	5.57	0.66	30.56	9.0	0.0	0.0	5.14	0.0	174686.1	5.67	0.97	4.52	1.47	Zigarette	4.0	
0.0	1.0	178274.88	1.4	na	1.6	na	5.13	5.0	1.0	1.0	10.27	0.0	143287.2	5.92	0.28	4.6	na	Raupe	2.0	
1.0	0.0	67065.9	1.27	na	5.13	na	6.13	4.0	0.0	0.0	20.55	0.0	50284.09	5.96	0.2	3.8	na	Kamm	1.0	
1.0	0.0	67835.85	1.06	na	5.5	na	11.14	6.0	0.0	0.0	2.14	0.0	31482.62	6.0	0.0	4.31	na	Löffel	2.0	
1.0	0.0	293926.84	5.56	na	4.19	na	2.49	7.0	0.0	0.0	2.57	1.0	156696.83	5.1	1.48	3.94	na	Posaune	3.0	
0.0	0.0	19880.31	1.0	na	1.4	na	1.32	4.0	0.0	0.0	14.13	0.0	16463.12	5.88	0.61	4.2	na	Logo	2.0	
0.0	1.0	282618.13	5.07	na	1.73	na	2.93	10.0	1.0	1.0	3.42	1.0	74393.76	4.62	1.4	4.2	na	Nachtigall	3.0	
0.0	0.0	190942.47	1.0	na	1.8	na	5.87	5.0	1.0	1.0	10.27	0.0	145987.0	5.96	0.2	4.93	na	Palme	2.0	
0.0	1.0	183473.49	4.87	na	1.87	na	3.45	7.0	1.0	1.0	2.14	1.0	32247.83	5.92	0.28	5.33	na	Papagei	3.0	
1.0	0.0	344974.26	1.25	0.58	5.13	1.36	0.78	8.0	0.0	0.0	1.28	0.0	177314.22	5.63	1.02	4.56	1.79	Pinzette	3.0	
1.0	0.0	184959.9	1.0	na	5.0	na	5.36	6.0	0.0	0.0	5.14	0.0	36663.91	5.96	0.2	3.56	na	Pinsel	2.0	
1.0	0.0	350506.5	4.89	1.18	4.83	1.2	2.59	6.0	0.0	0.0	4.28	1.0	179908.11	5.0	1.28	4.06	1.39	Flinte	2.0	
1.0	0.0	176085.32	1.96	1.07	5.17	0.94	2.67	6.0	0.0	0.0	4.28	0.0	154947.39	5.38	0.92	4.43	1.43	Krücke	2.0	
1.0	0.0	298509.24	1.59	1.06	4.53	1.66	2.31	6.0	0.0	0.0	3.0	0.0	124922.4	5.17	1.38	4.29	1.4	Kuvert	2.0	
1.0	0.0	21635.04	5.38	na	4.25	na	0.58	4.0	0.0	0.0	14.98	1.0	15420.79	5.0	1.3	3.69	na	Tuba	2.0	
0.0	1.0	210391.23	1.31	0.79	1.13	0.34	1.32	6.0	1.0	1.0	3.0	0.0	153443.53	5.44	1.21	4.31	1.62	Qualle	2.0	
0.0	0.0	323446.57	5.0	1.18	1.26	0.56	2.5	10.0	0.0	1.0	1.71	1.0	59704.51	5.48	1.03	5.0	1.05	Wasserfall	3.0	
1.0	0.0	332816.65	5.22	0.81	5.28	1.13	7.01	8.0	0.0	0.0	2.14	1.0	217893.21	5.28	1.18	4.0	1.19	Revolver	3.0	
0.0	1.0	57371.37	4.65	1.43	1.35	0.49	2.25	7.0	1.0	1.0	2.14	1.0	24019.86	5.43	1.08	2.9	1.26	Kuckuck	2.0	
0.0	1.0	92038.51	4.6	na	1.53	na	2.38	6.0	1.0	1.0	9.85	1.0	36773.15	5.92	0.28	4.6	na	Hummel	2.0	
0.0	0.0	334360.42	1.48	0.73	1.61	0.66	14.4	5.0	1.0	1.0	17.55	0.0	198109.46	5.57	0.6	3.95	1.43	Buche	2.0	
0.0	0.0	86560.13	1.26	0.54	1.57	0.84	5.52	4.0	1.0	1.0	23.12	0.0	82294.63	5.67	0.73	4.14	1.49	Moos	1.0	
